"字段1","字段2_文本","字段2_链接","字段3_文本","字段3_链接","字段4","时间","字段5","时间1"
"263","有用","javascript:;","亵渎电影","https://www.douban.com/people/zhangzongqian/","看过","2018-12-08","温子仁是个不错的工匠，将成功的好莱坞大片的经典元素拿来一锅端，指环王星战星际迷航速激伯恩碟中谍哥斯拉等等的优点轮番上，不停的做加法，让你从戴上3D眼镜的那一刻起，就觉得特效场面在不停的大大大，直到让你眼花缭乱，眼睛不知道看哪儿，这个过程也逐渐丧失乐趣和思考的能力。他就是要让你无法思考，这种大大大赶赶赶的剧本，一思考就全完了。超级英雄电影到了温子仁这里，竟然走了指环王的路线，倒是确实跟漫威不一样了，以前也没人这么拍过，可惜导演一味的追求速度，情节太赶，赶着赶着连海王这个人物都没了，爱情没了，就剩下了色彩绚烂的特效，经不起一点回味，最后也真的成了那种只能卖特效的片子。如果你只想看特效？那这片子倒是适合你。",
"283","有用","javascript:;","我是大皮哥","https://www.douban.com/people/49289313/","看过","2018-12-05","满足了年少时自己对海洋的所有幻想。杰森·莫玛凭一己之力掀起了长发狂野糙汉的审美新潮流，隔壁雷神克里斯·海姆斯沃斯大型溜粉现场？",
"291","有用","javascript:;","麦提爽","https://www.douban.com/people/3599865/","看过","2018-12-07","DC的玩意真是无论谁搞都显得那么二流，剧本人物台词极其弱蠢差。温子仁把魔科奇幻的电影或游戏元素弄了个大杂烩，从开头到结尾每一处都能说出借鉴（还是抄袭？）的来源出处。漫威的英雄从不需要人鼓励，也更不会说我不行。这就是两者气质上最大的差异。",
"265","有用","javascript:;","伯樵·阿苏勒","https://www.douban.com/people/yuanzhigao_0/","看过","2018-12-04","《啊，垮男》…",
"250","有用","javascript:;","王写写","https://www.douban.com/people/dreamending/","看过","2018-12-04","傻愣的台词，廉价的道具，浮夸的磨皮。除了几场戏调度不错，其他方面都太一般了。有时候，我甚至会产生错觉：这完全可以看成卓戈卡奥统治七国的故事，只不过是海底的七国大陆。这也完全可以被调侃成人猿泰山和小美人鱼的爱情历险。总之它的视觉效果和文本架构就是很容易让人分神。到头来，免不了还得夸一句：DC真的进步了！",
"252","有用","javascript:;","二狗","https://www.douban.com/people/174416917/","看过","2018-12-07","豆瓣分数明显虚高，一会儿就从8.5降8.4了。吹太过了吧，是因为DC让人失望太久，粉丝饥不择食？娱乐性是有的，可是从头到尾没让人激动的地方，倒是七仙女董永相会有点感人。海王只靠外语就拿到黄金三叉戟是认真的吗？还买一送一附赠性感内衣。最让人失望的是，DC还有自己的风格吗，毫无辨识度。",
"200","有用","javascript:;","阿德","https://www.douban.com/people/joearde/","看过","2018-12-07","找一个亮堂点的IMAX厅，绝对爽炸",
"179","有用","javascript:;","大島","https://www.douban.com/people/auxt/","看过","2018-12-07","当陆地人为自己的文明沾沾自喜时，亚特兰蒂斯的服装设计已经领先我们几百年。",
"164","有用","javascript:;","芥末蘸酱","https://www.douban.com/people/FrankWasabi/","看过","2018-11-27","熟读历史的海王肯定研究过毛选，实力诠释了什么叫人民战争的汪洋大海。","2018-11-27"
"146","有用","javascript:;","掉线","https://www.douban.com/people/ballteda/","看过","2018-12-07","【B-】不太像指环王，倒更像一出深海版加勒比海盗。以寻宝冒险作故事主线，带领观众在影史上最瑰丽宏大的海底世界浩瀚游历了一番。从亚特兰蒂斯到远洋海沟，一个个场景让人瞠目结舌。缺点是剧情套路，海王的人物塑造简单，成功基本靠天赋一路开挂。anyway，好看就够了（ps.温子仁还是没忍住塞了几个jump scare）",
"142","有用","javascript:;","黄青蕉","https://www.douban.com/people/sakimay/","看过","2018-12-09","吹过了吧，虽然质量不错可是也就超英（aka漫威）平均水平啊？？这满眼的即视感为啥要吹得前无古人？？",
"194","有用","javascript:;","Sebastian","https://www.douban.com/people/sebasstian/","看过","2018-12-07","真不敢相信我生日这天看了这么个玩意儿 罪过",
"163","有用","javascript:;","解嗨的咸鱼桑","https://www.douban.com/people/4516862/","看过","2018-12-07","非常无聊，看出来了，你们都在演戏，反派最可怜，只能配合演出，实在让人心疼。人物内在动机毫无说服力，设定一塌糊涂，最后还不是大家屈服于淫威和权力之下。不值票钱",
"185","有用","javascript:;","林诗莞。","https://www.douban.com/people/126727625/","看过","2018-12-07","温导这是比着指环王在拍啊，这特效叹为观止",
"184","有用","javascript:;","麻辣小龙虾","https://www.douban.com/people/131608238/","看过","2018-12-07","陪女朋友熬夜看的首映，看得直打瞌睡😪，什么鬼",
"209","有用","javascript:;","沉默的大多数","https://www.douban.com/people/162623726/","看过","2018-12-07","一个绿了别人的人的儿子绿了被绿的人的儿子的故事……",
"181","有用","javascript:;","LittleMonster","https://www.douban.com/people/53172476/","看过","2018-12-07","温子仁就是牛！！海王的Man真的男女通吃啊啊啊啊 ！",
"171","有用","javascript:;","草威","https://www.douban.com/people/Cao-Wei/","看过","2018-12-07","很难看。从概念设计到人物设定全是小儿科，情节推进也不连贯，最关键是审美令人发指，别说比肩《指环王》了，连《西游记》东海龙宫那段都比不了。另外现在谁都能看点映是吗？还写进影史，说这话得多没见识……温子仁就算有上百亿票房，也是个小导演。（看出温导演是华裔了，把春晚搬海里去了都",
"123","有用","javascript:;","Syg💙ZS","https://www.douban.com/people/crankysophia/","看过","2018-12-07","放心去看。幼稚园爱情，深海驱魔式窒息，比素鸡更成熟的大场面运镜，远超MCU的动作指导，反派人格塑造，这是完全的的温子仁风格。别出心裁混合了Cyber效果，配合电音，有的段落特别、特别Tron！还有雨夜决战扎导式慢镜+45度仰角cape porn，是温导写给PW的情书。七国设定炫目而让人信服，必买设定集。它不完美，海王性格必然和原作有差，但是瑕不掩瑜，也为超英片带来了新的元素。如果正联完全是扎导的正联，那么我现在可以感叹What a ride了。你们知道吗，最妙的是，你甚至可以从中看出MOS😭",
"108","有用","javascript:;","曾良君","https://www.douban.com/people/blacktea077/","看过","2018-12-07","女王：维科，这是我大儿子，剩下的话不用我多说了吧，以后该怎么办，你自己招子放亮一点，好处不会少了你的。维科：晓得了。",
"152","有用","javascript:;","逃犯克星张学友","https://www.douban.com/people/91034120/","看过","2018-12-08","短评那家伙给吹的，海王要是不拿他十几二十个奥斯卡都对不起这波吹",
"89","有用","javascript:;","桃桃淘电影","https://www.douban.com/people/qijiuzhiyue/","看过","2018-12-12","7分。温子仁确实很厉害，原以为这该是系列中最无趣的一部，尤其各种水下戏份。结果，却难得拍的很好看。影片节奏感和大场面掌控上，确实很见功力。以及，温子仁还融入了很多他自己的趣味，也算很有趣的细节了。整体可看性还不错，就是略长了，海底的光怪陆离，看久了也会有些视觉疲劳。",
"157","有用","javascript:;","路有冻死宇","https://www.douban.com/people/47227767/","看过","2018-12-07","午夜场演罢，全场掌声雷动，粉丝们积压了整整五年的怨气得到释放，这注定会是一部让DC赢回观众的“里程碑”之作。尽管内核老套，文戏尴尬，人物成长脉络敷衍了事，但西西里岛永远不会让人失望，温子仁将简单有效的技法全面升级，从那儿开始眼球便不忍离开银幕。妮可·基德曼最后捧着帕特里克的脸似乎要说：“儿啊，做王终究不是属于你的道路，驱魔才是你真正的归宿！”心疼渔夫国，净产出些诗人和哲学家，在海底世界得不到权力的尊重和认可，这难道不就是你瓣吗？",
"156","有用","javascript:;","nananana","https://www.douban.com/people/lukafox/","看过","2018-11-27","1、全程舔腿。海王、湄拉、妮可的腿加起来有十米长吧…温子仁还老是仰拍…腿控福利不解释。2、意大利大战黑蝠鲼，屋顶跑酷帅到炸裂。湄拉出彩，动作戏干净利落，脸又美。有个进攻瞬间让我想到另一位红发女超英。3、到达海沟族那场戏，绝了！！不愧是温子仁，这什么神仙cult脑洞！！！镜头一拉开，情不自禁卧槽出声，年度十佳场景预定。愿意为这场戏二刷。4、野心大，场面大，每一帧都是钱。（虽然鲨鱼坐骑和沧龙总让我想起西游记…）5、世界观塑造很完整，人物个性也出来了。因为交待背景的关系，前面文戏稍有点长，但是进入海底世界后就一路高潮到尾，总体又猛又爽。6、DC粉感谢温子仁吧。起码是这两年最有创造力的超级英雄大片了。",
"150","有用","javascript:;","Salvatore","https://www.douban.com/people/ushiyo_chan/","看过","2018-12-07","语文不好，牛逼就完事了！阿凡达之后最牛逼的视觉大片！没有之一！",
"122","有用","javascript:;","Virgil","https://www.douban.com/people/virgilzhou/","看过","2018-12-07","你们真的不觉得好几场戏演得好尬吗……而且各种电子游戏质感……疯狂出戏……看在豆瓣友邻均分也上了八分才去看的……WTF……我选择死亡……你们怎么集体失灵了……什么迷魂汤劲儿这么大啊……（然后看完隔了一天再看友邻评分：7.2，恢复了正常……更新：友邻分已降至7.0）",
"139","有用","javascript:;","栗色雪","https://www.douban.com/people/tildali1214/","看过","2018-12-07","温子仁就像一个从没拍过特效大片的暴发户。两星半，降降火。",
"140","有用","javascript:;","禾乃心台","https://www.douban.com/people/133715479/","看过","2018-12-07","球球你们别吹了，这种剧情也能被吹上天？都什么年代了，超英片还拍的这么套路？换汤不换药的剧情，特效还是最大的特点？首映全场大家鼓了两次掌，但除了男女主的颜和感情戏，片子丝毫没有打动我的地方。笑点也笑不出来，太多其他片子的影子了，甚至相比之下我好像更喜欢JL？JL看了两遍都觉得还ok，海王不想二刷了。开局8.5，还会掉的。",
"95","有用","javascript:;","柯里昂","https://www.douban.com/people/pirealwei/","看过","2018-12-07","极致绚烂五光十色的爆米花，而且，明显有些过于“绚烂”了，如果拍电影真的分匠人和大师，那温子仁绝对就是匠人那拨里的领头羊了，他非常聪明地吸取了DC以往的经验教训并取众家之所长，虽然，他的幽默感显然没啥长进，但，人有格斗戏啊，谁能想到一群海里的人打架还可以拳拳到肉呢（笑）；至于主线剧情人鱼相恋、争夺王位、同族内战、千里寻宝什么的，都太太太见怪不怪了，另外对于海王如何与弟媳两情相悦并最终走到一起这部分，温子仁显然砍掉了很多戏，这点俺很不满意；最后，看完这片产生了一个很厉害的想法，每年都有人鼓捣《西游记》，当国内投资人看过这片后，相信短时间内大概非常有望看到一部东海龙王solo片了，选角啥的也不用太费力，导演，当然还是请温子仁，片酬，至少翻两番，至于主演，听说香港有位长相非常洋气的艺术家最近没戏拍，嗯。",
"129","有用","javascript:;","Liang","https://www.douban.com/people/mono_l/","看过","2018-12-07","美轮美奂的2个多少时，海底的几个镜头简直美到爆炸！感谢豆瓣观影团！",
"99","有用","javascript:;","深夜的阿斯伯格","https://www.douban.com/people/35827809/","看过","2018-12-07","渔夫和灯塔守护多数是鳏夫，私下里经常养一些人鱼交欢。海洋远比陆地深远得多，人们赞美阳光下的海洋，却不知深夜降临海面上会冒出可怕的妖怪，海底也会藏着嘲笑人类的高级文明。所以！温子仁同样是一个借大热系列ip来讲自己故事的导演！！",
"106","有用","javascript:;","凹凸","https://www.douban.com/people/mr_tree/","看过","2018-12-07","东有沉香劈山救母，西有海娃寻叉救母。绿色秋裤哲学变身，刺身放题海底大战。同母异父兄弟相残，弟妹大伯不伦之恋。温子仁携手徐锦江，亚裔之光拯救好莱坞！",
"97","有用","javascript:;","英俊的兔酱🍖","https://www.douban.com/people/41567606/","看过","2018-12-07","DC真人版终于干过动画版了，海底的特效就是要用在真人版上才过瘾～",
"116","有用","javascript:;","刘赶赶","https://www.douban.com/people/93103721/","看过","2018-12-07","也没多好，也就比雷神好了一百个黑豹吧",
"101","有用","javascript:;","P.T.","https://www.douban.com/people/57084778/","看过","2018-12-07","又名，海洋版《钢铁之躯》。保底20亿？挑战《指环王》？那麻烦你解释下穿件保暖内衣即是战甲，拿个发光小水枪在那儿piupiupiu滋来滋去又是几个意思？我不觉得把赛博工艺和海洋文明结合起来是个明智选择，而且呀，鱼人不应该都是渔人国那样才符合海洋基本法么？你瞧，这部电影告诉了你会多门语言的重要性，因为搞不好，你将有几率获得屎黄色皮肤和一个镀金装备。嗯，既然是讲的荒原狼之后的事儿，红色披风的那位请过来不就搞定了吗？所以T2级的角色就是这么费劲。最后想说的是：对王权的崇拜是一种癌。",
"120","有用","javascript:;","写意人","https://www.douban.com/people/petershifi/","看过","2018-12-07","挺一般的啊，剧情基本都能猜得到，莫名其妙的沉重，莫名其妙的和好，刻意商业的尬聊幽默很出戏好吗",
